signal_id,equipment_id,scoring_date,predicted_component_id,failure_probability,model_version,recommended_action_window_days,contributing_fault_codes,signal_status,dismiss_reason,created_at
36,29,2026-07-08,3,0.0239834973265035,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
37,29,2026-07-08,9,0.0250480925856547,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
38,29,2026-07-08,10,0.0239834973265035,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
39,29,2026-07-08,12,0.0239834973265035,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
40,30,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
41,31,2026-07-08,7,0.0244166985284649,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
42,31,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
43,31,2026-07-08,10,0.0244166985284649,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
44,32,2026-07-08,9,0.0239834973265035,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
45,32,2026-07-08,10,0.0239834973265035,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
46,33,2026-07-08,3,0.0252819848741303,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
47,33,2026-07-08,5,0.0252819848741303,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
48,34,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
49,34,2026-07-08,12,0.0244570395347857,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
50,35,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
51,36,2026-07-08,3,0.026518564197786,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
52,36,2026-07-08,4,0.026518564197786,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
53,37,2026-07-08,4,0.0255193551324127,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
54,38,2026-07-08,1,0.0254484265252157,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
55,38,2026-07-08,2,0.0254484265252157,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
56,39,2026-07-08,2,0.0239834973265035,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
57,39,2026-07-08,3,0.0239834973265035,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
58,39,2026-07-08,11,0.0239834973265035,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
59,43,2026-07-08,7,0.0255193551324127,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
60,43,2026-07-08,11,0.0255193551324127,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
61,44,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
62,45,2026-07-08,1,0.0244166985284649,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
63,46,2026-07-08,4,0.0239834973265035,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
64,46,2026-07-08,5,0.0239834973265035,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
65,46,2026-07-08,6,0.0250480925856547,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
66,46,2026-07-08,7,0.0273065282495694,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
67,46,2026-07-08,10,0.0239834973265035,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
68,47,2026-07-08,7,0.0239834973265035,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
69,47,2026-07-08,8,0.0240231402268853,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
70,48,2026-07-08,2,0.0239834973265035,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
71,48,2026-07-08,3,0.0239834973265035,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
72,48,2026-07-08,7,0.0239834973265035,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
73,48,2026-07-08,10,0.0239834973265035,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
74,49,2026-07-08,9,0.0316615416129665,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
75,50,2026-07-08,5,0.0239834973265035,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
76,50,2026-07-08,8,0.0239834973265035,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
77,50,2026-07-08,10,0.0239834973265035,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
78,54,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
79,55,2026-07-08,5,0.0239834973265035,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
80,55,2026-07-08,6,0.0239834973265035,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
81,56,2026-07-08,10,0.0239834973265035,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
82,56,2026-07-08,11,0.0239834973265035,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
83,57,2026-07-08,5,0.0253975451256841,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
84,57,2026-07-08,10,0.0253975451256841,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
85,58,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
86,58,2026-07-08,10,0.0244166985284649,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
87,59,2026-07-08,5,0.0241484600764454,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
88,60,2026-07-08,2,0.0254484265252157,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
89,60,2026-07-08,4,0.0254484265252157,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
90,60,2026-07-08,7,0.0572767006350122,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
91,60,2026-07-08,8,0.0254484265252157,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
92,61,2026-07-08,3,0.0251163546311272,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
93,61,2026-07-08,12,0.0251163546311272,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
94,62,2026-07-08,5,0.0237693751501166,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
95,64,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
96,66,2026-07-08,4,0.0239834973265035,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
97,68,2026-07-08,11,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
98,70,2026-07-08,3,0.0575208788091587,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
99,71,2026-07-08,4,0.0237693751501166,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
100,72,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
101,72,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
102,72,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
103,73,2026-07-08,9,0.0239834973265035,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
104,74,2026-07-08,2,0.0239834973265035,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
105,75,2026-07-08,2,0.0255000206129042,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
106,77,2026-07-08,3,0.0258462452936694,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
107,78,2026-07-08,7,0.0239834973265035,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
108,79,2026-07-08,6,0.0251163546311272,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
109,79,2026-07-08,10,0.0251163546311272,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
110,81,2026-07-08,12,0.0241484600764454,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
111,82,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
112,82,2026-07-08,7,0.0244166985284649,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
113,82,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
114,83,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
115,83,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
116,83,2026-07-08,11,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
117,84,2026-07-08,9,0.0239834973265035,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
118,85,2026-07-08,7,0.0244166985284649,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
119,86,2026-07-08,5,0.027116884768115,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
120,86,2026-07-08,12,0.027116884768115,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
121,89,2026-07-08,10,0.0248879273098632,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
122,91,2026-07-08,3,0.027116884768115,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
123,92,2026-07-08,2,0.0237693751501166,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
124,92,2026-07-08,6,0.0237693751501166,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
125,92,2026-07-08,8,0.0237693751501166,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
126,93,2026-07-08,4,0.0237693751501166,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
127,98,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
128,99,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
129,99,2026-07-08,7,0.0244166985284649,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
130,99,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
131,99,2026-07-08,9,0.0238895103019818,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
132,103,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
133,103,2026-07-08,7,0.0244166985284649,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
134,104,2026-07-08,1,0.0240734864788073,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
135,106,2026-07-08,1,0.0258462452936694,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
136,107,2026-07-08,8,0.0239834973265035,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
137,108,2026-07-08,2,0.0238895103019818,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
138,108,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
139,108,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
140,110,2026-07-08,2,0.0252787719883621,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
141,110,2026-07-08,5,0.0241484600764454,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
142,111,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
143,111,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
144,111,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
145,112,2026-07-08,1,0.0262760553894897,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
146,112,2026-07-08,5,0.0262760553894897,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
147,113,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
148,113,2026-07-08,10,0.0256628645452871,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
149,114,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
150,115,2026-07-08,1,0.0250674825461794,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
151,115,2026-07-08,6,0.0250674825461794,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
152,115,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
153,116,2026-07-08,1,0.0244166985284649,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
154,116,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
155,116,2026-07-08,7,0.0262103577267259,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
156,116,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
157,117,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
158,117,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
159,119,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
160,119,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
161,120,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
162,121,2026-07-08,2,0.027116884768115,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
163,123,2026-07-08,10,0.0245866336694169,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
164,124,2026-07-08,5,0.0241484600764454,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
165,124,2026-07-08,11,0.0241484600764454,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
166,126,2026-07-08,1,0.0244166985284649,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
167,126,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
168,126,2026-07-08,3,0.023790277908957,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
169,126,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
170,128,2026-07-08,7,0.0244166985284649,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
171,129,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
172,130,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
173,130,2026-07-08,7,0.0244570395347857,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
174,130,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
175,131,2026-07-08,10,0.0244166985284649,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
176,132,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
177,132,2026-07-08,10,0.0244166985284649,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
178,132,2026-07-08,11,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
179,133,2026-07-08,11,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
180,133,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
181,134,2026-07-08,1,0.0244166985284649,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
182,134,2026-07-08,2,0.0249067327735781,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
183,135,2026-07-08,11,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
184,136,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
185,136,2026-07-08,10,0.0244166985284649,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
186,137,2026-07-08,5,0.024573713043003,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
187,137,2026-07-08,10,0.024573713043003,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
188,137,2026-07-08,11,0.024573713043003,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
189,139,2026-07-08,12,0.0239834973265035,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
190,140,2026-07-08,5,0.0253975451256841,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
191,142,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
192,142,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
193,143,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
194,144,2026-07-08,5,0.0271729723458356,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
195,144,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
196,144,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
197,148,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
198,148,2026-07-08,7,0.0255000206129042,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
199,148,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
200,149,2026-07-08,6,0.0294016687406416,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
201,151,2026-07-08,10,0.0256628645452871,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
202,153,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
203,156,2026-07-08,10,0.0239834973265035,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
204,157,2026-07-08,5,0.0239834973265035,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
205,157,2026-07-08,12,0.0239834973265035,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
206,158,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
207,158,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
208,158,2026-07-08,4,0.0251134887599768,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
209,158,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
210,159,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
211,160,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
212,160,2026-07-08,8,0.0238895103019818,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
213,160,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
214,162,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
215,162,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
216,162,2026-07-08,7,0.0240734864788073,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
217,163,2026-07-08,7,0.0267192676884672,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
218,163,2026-07-08,8,0.0267192676884672,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
219,166,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
220,166,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
221,167,2026-07-08,10,0.024573713043003,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
222,167,2026-07-08,11,0.024573713043003,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
223,169,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
224,171,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
225,172,2026-07-08,3,0.0267192676884672,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
226,172,2026-07-08,11,0.0267192676884672,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
227,174,2026-07-08,2,0.0264043728682035,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
228,175,2026-07-08,10,0.0244166985284649,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
229,175,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
230,176,2026-07-08,6,0.027116884768115,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
231,176,2026-07-08,9,0.027116884768115,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
232,177,2026-07-08,11,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
233,178,2026-07-08,10,0.0248879273098632,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
234,179,2026-07-08,5,0.0239834973265035,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
235,179,2026-07-08,8,0.0239834973265035,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
236,180,2026-07-08,2,0.024573713043003,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
237,180,2026-07-08,4,0.024573713043003,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
238,180,2026-07-08,8,0.0255949064846882,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
239,181,2026-07-08,2,0.0240734864788073,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
240,181,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
241,182,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
242,182,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
243,184,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
244,185,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
245,185,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
246,188,2026-07-08,2,0.0462787592018443,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
247,189,2026-07-08,5,0.0262828821548103,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
248,189,2026-07-08,11,0.026518564197786,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
249,192,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
250,192,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
251,192,2026-07-08,8,0.0244166985284649,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
252,192,2026-07-08,10,0.0244166985284649,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
