work_order_id,equipment_id,customer_id,technician_id,maintenance_type,priority,source_signal_id,scheduled_date,actual_start,actual_completion,downtime_hours,sla_target_hours,labor_hours,total_cost,warranty_flag,status,root_cause,follow_up_required
66,4,1,24,Inspection,Routine,,2020-08-18,2020-08-18 08:07:00.145152,2020-08-18 11:55:00.145152,3.8,6,2.5,10254.0,False,Completed,,False
67,4,1,20,Corrective,Routine,,2020-11-30,2020-11-30 12:18:09.319836,2020-11-30 18:54:09.319836,6.6,6,2.9,196146.0,False,Completed,Contamination in fluid system,True
68,4,1,24,Preventive,Routine,,2021-03-18,2021-03-18 12:00:45.553282,2021-03-18 19:42:45.553282,7.7,6,4.1,5070.0,False,Completed,,False
69,4,1,12,Preventive,Routine,,2021-06-29,2021-06-29 08:13:02.077173,2021-06-29 20:01:02.077173,11.8,6,4.9,35766.0,False,Completed,,False
70,4,1,8,Inspection,Routine,,2021-10-19,2021-10-19 12:49:34.574516,2021-10-19 16:31:34.574516,3.7,6,2.5,109434.0,False,Completed,,False
71,4,1,8,Preventive,Routine,,2022-01-30,2022-01-30 08:39:14.950257,2022-01-30 14:09:14.950257,5.5,6,2.8,62064.0,False,Completed,,False
72,4,1,24,Preventive,Routine,,2022-05-04,2022-05-04 13:59:06.119292,2022-05-04 21:35:06.119292,7.6,6,3.2,11520.0,False,Completed,,False
73,4,1,12,Preventive,Routine,,2022-08-21,2022-08-21 13:32:46.687763,2022-08-21 22:32:46.687763,9.0,6,4.4,43770.0,False,Completed,,False
74,4,1,20,Preventive,Routine,,2022-11-22,2022-11-22 08:43:20.235192,2022-11-22 17:31:20.235192,8.8,6,6.5,290502.0,False,Completed,,False
75,4,1,24,Preventive,Routine,,2023-03-09,2023-03-09 11:04:11.261100,2023-03-09 22:10:11.261100,11.1,6,8.0,310266.0,False,Completed,,False
76,4,1,20,Preventive,Routine,,2023-06-24,2023-06-24 12:10:08.427396,2023-06-24 17:58:08.427396,5.8,6,3.1,31338.0,False,Completed,,False
77,4,1,12,Preventive,Routine,,2023-10-07,2023-10-07 09:27:12.696033,2023-10-07 15:15:12.696033,5.8,6,3.4,133422.0,False,Completed,,False
78,4,1,4,Preventive,Routine,,2024-01-10,2024-01-10 11:20:23.709046,2024-01-10 19:14:23.709046,7.9,6,3.9,1785.0,False,Completed,,False
79,4,1,24,Preventive,Routine,,2024-04-14,2024-04-14 10:05:16.690099,2024-04-14 19:23:16.690099,9.3,6,5.4,78720.0,False,Completed,,False
80,4,1,12,Preventive,Routine,,2024-08-05,2024-08-05 12:00:34.044638,2024-08-05 17:06:34.044638,5.1,6,2.4,107022.0,False,Completed,,False
81,4,1,16,Preventive,Routine,,2024-11-28,2024-11-28 12:13:15.639827,2024-11-28 19:31:15.639827,7.3,6,3.2,148548.0,False,Completed,,False
82,4,1,20,Corrective,Routine,,2025-03-16,2025-03-16 09:40:33.065144,2025-03-17 00:22:33.065144,14.7,6,6.5,209334.0,False,Completed,Fatigue failure,False
83,4,1,20,Preventive,Routine,,2025-07-01,2025-07-01 08:02:26.059121,2025-07-01 18:02:26.059121,10.0,6,7.5,321690.0,False,Completed,,False
84,4,1,8,Preventive,Routine,,2025-10-08,2025-10-08 10:15:43.179743,2025-10-08 16:09:43.179743,5.9,6,4.1,149394.0,False,Completed,,False
85,4,1,20,Inspection,Routine,,2026-01-19,2026-01-19 08:09:12.424933,2026-01-19 09:57:12.424933,1.8,6,1.3,27594.0,False,Completed,,False
86,4,1,20,Preventive,Routine,,2026-05-05,2026-05-05 10:47:07.766548,2026-05-05 15:05:07.766548,4.3,6,2.7,90774.0,False,Completed,,False
87,5,1,20,Preventive,Routine,,2024-02-02,2024-02-02 11:53:28.384860,2024-02-02 23:17:28.384860,11.4,6,5.2,3102.0,True,Completed,,False
88,5,1,4,Preventive,Routine,,2024-05-20,2024-05-20 12:53:43.139188,2024-05-20 18:17:43.139188,5.4,6,2.8,187464.0,True,Completed,,False
89,5,1,8,Preventive,Routine,,2024-09-07,2024-09-07 12:55:23.980458,2024-09-08 00:49:23.980458,11.9,6,8.5,9681.0,False,Completed,,False
90,5,1,12,Preventive,Routine,,2024-12-22,2024-12-22 08:21:39.670059,2024-12-22 16:51:39.670059,8.5,6,3.7,58236.0,False,Completed,,False
91,5,1,20,Preventive,Routine,,2025-04-13,2025-04-13 09:49:36.263086,2025-04-13 20:31:36.263086,10.7,6,6.5,96360.0,False,Completed,,False
92,5,1,4,Inspection,Routine,,2025-07-20,2025-07-20 11:05:09.656095,2025-07-20 12:29:09.656095,1.4,6,0.7,79698.0,True,Completed,,False
93,5,1,8,Preventive,Routine,,2025-10-23,2025-10-23 10:48:18.380247,2025-10-23 18:12:18.380247,7.4,6,5.0,298440.0,True,Completed,,False
94,5,1,4,Preventive,Routine,,2026-01-22,2026-01-22 13:25:23.270158,2026-01-22 22:07:23.270158,8.7,6,4.5,143538.0,False,Completed,,False
95,5,1,8,Preventive,Routine,,2026-04-29,2026-04-29 13:45:27.636845,2026-04-29 21:15:27.636845,7.5,6,4.6,24768.0,False,Completed,,False
96,6,1,8,Corrective,Critical,,2021-05-12,2021-05-12 13:12:06.912677,2021-05-14 11:06:06.912677,45.9,6,25.1,77706.0,False,Completed,Operator-reported abnormal noise confirmed on inspection,False
97,6,1,4,Inspection,Routine,,2021-09-12,2021-09-12 10:54:22.814949,2021-09-12 14:18:22.814949,3.4,6,1.6,8040.0,True,Completed,,False
98,6,1,16,Preventive,Routine,,2022-01-09,2022-01-09 10:00:36.313763,2022-01-09 21:00:36.313763,11.0,6,5.7,121410.0,True,Completed,,False
99,6,1,12,Preventive,Routine,,2022-05-05,2022-05-05 10:36:48.451086,2022-05-05 16:48:48.451086,6.2,6,2.5,1533.0,True,Completed,,False
100,6,1,16,Preventive,Routine,,2022-09-09,2022-09-09 10:39:35.467590,2022-09-09 21:21:35.467590,10.7,6,7.3,15450.0,True,Completed,,False
101,6,1,16,Preventive,Routine,,2023-01-09,2023-01-09 09:47:00.678423,2023-01-09 17:35:00.678423,7.8,6,3.7,58236.0,True,Completed,,False
102,6,1,20,Preventive,Routine,,2023-05-17,2023-05-17 10:25:29.653653,2023-05-17 18:31:29.653653,8.1,6,3.6,2016.0,False,Completed,,False
103,6,1,24,Preventive,Routine,,2023-09-12,2023-09-12 08:10:20.283042,2023-09-12 17:52:20.283042,9.7,6,4.4,6264.0,False,Completed,,False
104,6,1,4,Preventive,Routine,,2024-01-05,2024-01-05 09:07:47.591643,2024-01-05 20:13:47.591643,11.1,6,4.7,25128.0,False,Completed,,False
105,6,1,12,Preventive,Routine,,2024-05-16,2024-05-16 08:45:24.463648,2024-05-16 18:27:24.463648,9.7,6,4.8,379344.0,False,Completed,,False
106,6,1,8,Corrective,High,,2024-09-08,2024-09-08 11:58:53.987460,2024-09-09 08:22:53.987460,20.4,6,11.1,360528.0,False,Completed,Wear beyond tolerance,False
107,6,1,8,Corrective,Routine,,2025-01-05,2025-01-05 12:24:15.553221,2025-01-06 04:24:15.553221,16.0,6,6.6,197838.0,False,Completed,Overheating due to blocked cooling path,False
108,6,1,24,Preventive,Routine,,2025-05-07,2025-05-07 11:46:36.240659,2025-05-07 23:16:36.240659,11.5,6,6.9,20622.0,False,Completed,,False
109,6,1,24,Preventive,Routine,,2025-09-10,2025-09-10 12:06:21.477270,2025-09-10 18:54:21.477270,6.8,6,2.7,125658.0,False,Completed,,False
110,6,1,16,Corrective,High,,2026-01-01,2026-01-01 12:39:45.804735,2026-01-02 08:57:45.804735,20.3,6,14.6,77298.0,False,Completed,Overheating due to blocked cooling path,False
111,6,1,16,Preventive,Routine,,2026-05-05,2026-05-05 12:25:53.991387,2026-05-05 23:01:53.991387,10.6,6,6.6,7458.0,False,Completed,,False
112,7,1,8,Preventive,Routine,,2024-09-18,2024-09-18 10:56:13.417405,2024-09-18 16:26:13.417405,5.5,6,4.0,83484.0,True,Completed,,False
113,7,1,24,Corrective,High,,2024-12-28,2024-12-28 08:33:18.849943,2024-12-29 11:51:18.849943,27.3,6,12.2,275454.0,True,Completed,Contamination in fluid system,False
114,7,1,8,Preventive,Routine,,2025-04-18,2025-04-18 12:14:46.651044,2025-04-18 20:56:46.651044,8.7,6,4.2,198546.0,False,Completed,,False
115,7,1,4,Preventive,Routine,,2025-08-15,2025-08-15 10:26:11.734973,2025-08-15 16:08:11.734973,5.7,6,3.7,178506.0,True,Completed,,False
116,7,1,4,Preventive,Routine,,2025-12-01,2025-12-01 09:51:12.599567,2025-12-01 21:33:12.599567,11.7,6,5.3,10074.0,True,Completed,,False
117,7,1,4,Corrective,Routine,,2026-03-12,2026-03-12 12:30:09.625292,2026-03-12 19:42:09.625292,7.2,6,4.7,196014.0,True,Completed,Overheating due to blocked cooling path,False
118,7,1,4,Preventive,Routine,,2026-07-01,2026-07-01 11:45:59.276221,2026-07-01 23:15:59.276221,11.5,6,7.2,14748.0,True,Completed,,False
119,8,1,24,Preventive,Routine,,2019-04-13,2019-04-13 09:06:51.870247,2019-04-13 18:12:51.870247,9.1,6,6.3,26442.0,True,Completed,,False
120,8,1,24,Preventive,Routine,,2019-07-23,2019-07-23 11:18:24.498844,2019-07-23 18:18:24.498844,7.0,6,4.8,7248.0,True,Completed,,False
121,8,1,8,Preventive,Routine,,2019-11-12,2019-11-12 09:17:55.145592,2019-11-12 16:41:55.145592,7.4,6,4.9,11655.0,False,Completed,,False
122,8,1,20,Inspection,Routine,,2020-02-14,2020-02-14 08:32:16.681023,2020-02-14 09:38:16.681023,1.1,6,0.6,14244.0,True,Completed,,False
123,8,1,8,Preventive,Routine,,2020-06-08,2020-06-08 08:25:55.074995,2020-06-08 12:49:55.074995,4.4,6,2.9,12378.0,False,Completed,,False
124,8,1,24,Corrective,High,,2020-09-29,2020-09-29 10:39:32.161124,2020-09-30 12:09:32.161124,25.5,6,13.3,107730.0,True,Completed,Operator-reported abnormal noise confirmed on inspection,False
125,8,1,24,Inspection,Routine,,2021-01-01,2021-01-01 11:43:09.175750,2021-01-01 15:07:09.175750,3.4,6,1.4,298020.0,True,Completed,,False
126,8,1,24,Preventive,Routine,,2021-04-05,2021-04-05 13:18:38.248928,2021-04-05 17:30:38.248928,4.2,6,2.0,272364.0,False,Completed,,False
127,8,1,8,Preventive,Routine,,2021-07-22,2021-07-22 10:29:53.740855,2021-07-22 18:41:53.740855,8.2,6,4.9,7152.0,False,Completed,,False
128,8,1,20,Preventive,Routine,,2021-10-26,2021-10-26 13:10:22.950581,2021-10-26 19:10:22.950581,6.0,6,2.6,229494.0,False,Completed,,False
129,8,1,24,Preventive,Routine,,2022-02-07,2022-02-07 08:40:41.184544,2022-02-07 16:46:41.184544,8.1,6,4.9,11826.0,False,Completed,,False
130,8,1,16,Preventive,Routine,,2022-05-10,2022-05-10 11:01:07.620724,2022-05-10 19:07:07.620724,8.1,6,5.6,50028.0,False,Completed,,False
131,8,1,16,Preventive,Routine,,2022-08-29,2022-08-29 13:45:36.719258,2022-08-29 22:15:36.719258,8.5,6,5.7,7638.0,False,Completed,,False
132,8,1,20,Corrective,Critical,,2022-12-04,2022-12-04 12:12:41.712104,2022-12-07 10:06:41.712104,69.9,6,39.2,22218.0,False,Completed,Wear beyond tolerance,False
133,8,1,4,Inspection,Routine,,2023-03-10,2023-03-10 13:13:28.728776,2023-03-10 14:43:28.728776,1.5,6,1.0,18876.0,False,Completed,,False
134,8,1,20,Preventive,Routine,,2023-06-15,2023-06-15 13:41:17.444086,2023-06-15 23:29:17.444086,9.8,6,4.1,308994.0,False,Completed,,False
135,8,1,4,Corrective,Routine,,2023-09-16,2023-09-16 09:27:16.914705,2023-09-16 20:27:16.914705,11.0,6,7.1,63066.0,False,Completed,Fatigue failure,False
136,8,1,20,Preventive,Routine,,2023-12-17,2023-12-17 11:19:31.718276,2023-12-17 17:37:31.718276,6.3,6,4.0,15198.0,False,Completed,,False
137,8,1,4,Preventive,Routine,,2024-04-07,2024-04-07 10:39:52.323270,2024-04-07 14:51:52.323270,4.2,6,3.1,3807.0,False,Completed,,False
138,8,1,20,Corrective,Routine,,2024-07-08,2024-07-08 12:04:37.464480,2024-07-08 23:34:37.464480,11.5,6,6.5,16674.0,False,Completed,Operator-reported abnormal noise confirmed on inspection,False
139,8,1,24,Preventive,Routine,,2024-10-08,2024-10-08 09:52:03.150642,2024-10-08 14:52:03.150642,5.0,6,3.1,33618.0,False,Completed,,False
140,8,1,8,Preventive,Routine,,2025-01-20,2025-01-20 13:37:28.107329,2025-01-20 20:07:28.107329,6.5,6,3.4,8763.0,False,Completed,,False
141,8,1,12,Preventive,Routine,,2025-05-04,2025-05-04 11:47:06.889699,2025-05-04 21:35:06.889699,9.8,6,4.4,40464.0,False,Completed,,False
142,8,1,16,Preventive,Routine,,2025-08-20,2025-08-20 08:50:04.446225,2025-08-20 18:26:04.446225,9.6,6,6.9,50262.0,False,Completed,,False
143,8,1,12,Preventive,Routine,,2025-12-08,2025-12-08 12:45:05.089483,2025-12-08 23:03:05.089483,10.3,6,5.0,8196.0,False,Completed,,False
144,8,1,24,Preventive,Routine,,2026-04-01,2026-04-01 13:07:09.190505,2026-04-01 19:07:09.190505,6.0,6,4.2,104154.0,False,Completed,,False
145,9,1,16,Inspection,Routine,,2017-05-04,2017-05-04 12:51:19.103782,2017-05-04 16:51:19.103782,4.0,6,1.8,2490.0,True,Completed,,False
146,9,1,20,Inspection,Routine,,2017-08-20,2017-08-20 11:31:14.725871,2017-08-20 12:55:14.725871,1.4,6,0.9,16464.0,False,Completed,,False
147,9,1,12,Preventive,Routine,,2017-11-20,2017-11-20 10:07:15.378418,2017-11-20 17:49:15.378418,7.7,6,5.7,236436.0,False,Completed,,False
148,9,1,20,Preventive,Routine,,2018-02-26,2018-02-26 11:45:31.308021,2018-02-26 17:39:31.308021,5.9,6,2.4,178272.0,True,Completed,,False
149,9,1,4,Preventive,Routine,,2018-06-05,2018-06-05 09:10:48.956272,2018-06-05 19:04:48.956272,9.9,6,7.3,130590.0,False,Completed,,False
150,9,1,24,Preventive,Routine,,2018-09-09,2018-09-09 08:05:24.150588,2018-09-09 14:41:24.150588,6.6,6,2.7,21348.0,True,Completed,,False
151,9,1,16,Preventive,Routine,,2019-01-02,2019-01-02 10:29:08.272493,2019-01-02 14:53:08.272493,4.4,6,2.7,19410.0,True,Completed,,False
152,9,1,20,Corrective,High,,2019-04-02,2019-04-02 11:55:28.397475,2019-04-03 07:25:28.397475,19.5,6,10.6,57312.0,False,Completed,Contamination in fluid system,False
153,9,1,24,Preventive,Routine,,2019-07-25,2019-07-25 10:10:13.296815,2019-07-25 16:58:13.296815,6.8,6,4.3,213498.0,False,Completed,,False
154,9,1,20,Preventive,Routine,,2019-11-07,2019-11-07 09:51:19.859588,2019-11-07 20:03:19.859588,10.2,6,7.6,101574.0,False,Completed,,False
155,9,1,4,Preventive,Routine,,2020-02-21,2020-02-21 08:03:15.270646,2020-02-21 15:51:15.270646,7.8,6,4.9,190008.0,False,Completed,,False
156,9,1,8,Preventive,Routine,,2020-05-21,2020-05-21 11:15:34.666667,2020-05-21 16:51:34.666667,5.6,6,3.8,12540.0,False,Completed,,False
157,9,1,24,Preventive,Routine,,2020-09-11,2020-09-11 11:10:15.556996,2020-09-11 17:58:15.556996,6.8,6,4.4,36702.0,False,Completed,,False
158,9,1,24,Preventive,Routine,,2020-12-21,2020-12-21 09:16:21.198619,2020-12-21 19:34:21.198619,10.3,6,4.2,44475.0,False,Completed,,False
159,9,1,8,Corrective,High,,2021-04-01,2021-04-01 10:27:34.431620,2021-04-02 20:33:34.431620,34.1,6,24.9,250722.0,False,Completed,Fatigue failure,False
160,9,1,12,Preventive,Routine,,2021-07-07,2021-07-07 10:33:13.170919,2021-07-07 16:45:13.170919,6.2,6,4.4,99915.0,False,Completed,,False
161,9,1,8,Corrective,High,,2021-10-29,2021-10-29 08:31:50.151189,2021-10-29 20:37:50.151189,12.1,6,8.5,16920.0,False,Completed,Wear beyond tolerance,False
162,9,1,8,Preventive,Routine,,2022-02-19,2022-02-19 13:10:48.318153,2022-02-19 18:40:48.318153,5.5,6,3.9,73548.0,False,Completed,,False
163,9,1,12,Corrective,High,,2022-05-20,2022-05-20 11:00:56.799971,2022-05-21 07:24:56.799971,20.4,6,13.5,334284.0,False,Completed,Fatigue failure,False
164,9,1,4,Preventive,Routine,,2022-08-19,2022-08-19 11:45:50.666342,2022-08-19 15:51:50.666342,4.1,6,1.8,152970.0,False,Completed,,False
165,9,1,20,Corrective,Critical,,2022-11-27,2022-11-27 13:44:34.783129,2022-11-30 12:20:34.783129,70.6,6,41.2,85392.0,False,Completed,Operator-reported abnormal noise confirmed on inspection,False
166,9,1,12,Preventive,Routine,,2023-02-28,2023-02-28 13:44:36.372569,2023-02-28 18:20:36.372569,4.6,6,3.4,1695.0,False,Completed,,False
