calendar_id,equipment_id,component_id,event_type,window_start,failure_date,lead_window_days,midpoint,k,false_start_cutoff,false_start_decay_days
52,10,5,Failure,2025-05-23,2025-06-02,10,0.45,12,,
53,10,3,Failure,2024-09-24,2024-10-09,15,0.6,9,,
54,10,5,Failure,2024-08-23,2024-08-30,7,0.45,12,,
55,10,11,Failure,2025-06-23,2025-07-03,10,0.55,10,,
56,10,4,Failure,2024-09-26,2024-10-10,14,0.5,11,,
57,10,10,Failure,2024-08-08,2024-08-29,21,0.6,9,,
58,10,10,FalseStart,2026-05-17,,24,0.6,9,0.41,7
59,10,4,FalseStart,2024-09-28,,7,0.5,11,0.61,4
60,11,12,Failure,2025-06-12,2025-06-23,11,0.5,11,,
61,11,4,Failure,2025-10-03,2025-10-17,14,0.5,11,,
62,11,5,Failure,2024-10-02,2024-10-11,9,0.45,12,,
63,11,6,Failure,2024-08-08,2024-08-26,18,0.6,10,,
64,11,3,Failure,2025-11-13,2025-11-28,15,0.6,9,,
65,11,1,Failure,2025-11-30,2025-12-11,11,0.55,10,,
66,11,9,FalseStart,2025-03-26,,28,0.65,9,0.72,4
67,11,4,FalseStart,2025-01-31,,9,0.5,11,0.64,8
68,12,11,Failure,2025-12-01,2025-12-16,15,0.55,10,,
69,12,11,Failure,2025-08-27,2025-09-09,13,0.55,10,,
70,12,7,Failure,2026-04-19,2026-05-20,31,0.75,12,,
71,12,5,Failure,2025-02-13,2025-02-19,6,0.45,12,,
72,12,4,FalseStart,2024-11-22,,12,0.5,11,0.47,7
73,13,11,Failure,2024-09-12,2024-09-20,8,0.55,10,,
74,13,11,Failure,2024-12-29,2025-01-10,12,0.55,10,,
75,13,1,Failure,2025-04-16,2025-05-03,17,0.55,10,,
76,13,11,Failure,2025-08-04,2025-08-18,14,0.55,10,,
77,13,7,FalseStart,2026-04-08,,40,0.75,12,0.64,7
78,14,9,Failure,2026-05-17,2026-06-08,22,0.65,9,,
79,14,1,Failure,2026-04-09,2026-04-23,14,0.55,10,,
80,14,4,Failure,2026-06-20,2026-06-27,7,0.5,11,,
81,14,2,Failure,2025-03-15,2025-03-30,15,0.5,10,,
82,14,1,FalseStart,2025-01-23,,14,0.55,10,0.48,4
83,15,1,Failure,2026-06-21,2026-07-02,11,0.55,10,,
84,15,7,Failure,2025-10-29,2025-12-04,36,0.75,12,,
85,15,8,Failure,2026-05-21,2026-06-16,26,0.7,8,,
86,15,3,FalseStart,2026-05-18,,25,0.6,9,0.4,8
87,16,2,Failure,2026-06-12,2026-06-24,12,0.5,10,,
88,16,4,Failure,2025-11-27,2025-12-06,9,0.5,11,,
89,16,10,Failure,2025-06-23,2025-07-11,18,0.6,9,,
90,16,4,FalseStart,2025-12-27,,13,0.5,11,0.45,5
91,17,11,Failure,2026-01-23,2026-02-06,14,0.55,10,,
92,17,7,Failure,2025-10-26,2025-11-30,35,0.75,12,,
93,17,3,Failure,2024-10-18,2024-11-04,17,0.6,9,,
94,17,8,Failure,2025-02-12,2025-03-07,23,0.7,8,,
95,17,3,Failure,2024-10-06,2024-10-26,20,0.6,9,,
96,17,12,Failure,2025-04-03,2025-04-13,10,0.5,11,,
97,17,11,FalseStart,2024-09-30,,8,0.55,10,0.52,4
98,17,5,FalseStart,2025-04-15,,9,0.45,12,0.55,7
99,18,2,Failure,2025-09-21,2025-09-30,9,0.5,10,,
100,18,9,Failure,2026-01-05,2026-01-25,20,0.65,9,,
101,18,4,Failure,2025-11-02,2025-11-11,9,0.5,11,,
102,18,2,Failure,2025-11-25,2025-12-10,15,0.5,10,,
103,18,7,Failure,2025-02-20,2025-03-19,27,0.75,12,,
104,18,5,Failure,2025-05-02,2025-05-11,9,0.45,12,,
105,18,9,Failure,2026-04-24,2026-05-20,26,0.65,9,,
106,18,2,FalseStart,2025-08-02,,12,0.5,10,0.51,8
107,18,2,FalseStart,2025-12-26,,10,0.5,10,0.74,6
108,19,2,Failure,2025-12-06,2025-12-15,9,0.5,10,,
109,19,1,Failure,2024-08-06,2024-08-22,16,0.55,10,,
110,19,6,Failure,2025-12-19,2025-12-29,10,0.6,10,,
111,19,11,Failure,2025-11-23,2025-12-02,9,0.55,10,,
112,19,1,Failure,2024-09-14,2024-09-26,12,0.55,10,,
113,19,11,FalseStart,2025-08-25,,15,0.55,10,0.54,6
114,19,3,FalseStart,2025-09-25,,21,0.6,9,0.44,7
115,20,1,Failure,2026-04-02,2026-04-18,16,0.55,10,,
116,20,1,Failure,2024-11-18,2024-12-02,14,0.55,10,,
117,20,8,Failure,2024-08-14,2024-09-03,20,0.7,8,,
118,20,2,Failure,2024-07-21,2024-08-01,11,0.5,10,,
119,20,8,Failure,2025-07-07,2025-08-06,30,0.7,8,,
120,20,3,FalseStart,2026-02-24,,21,0.6,9,0.44,4
121,20,10,FalseStart,2025-01-26,,24,0.6,9,0.49,8
122,21,1,Failure,2026-01-02,2026-01-18,16,0.55,10,,
123,21,7,Failure,2026-04-16,2026-05-17,31,0.75,12,,
124,21,6,Failure,2026-01-02,2026-01-15,13,0.6,10,,
125,21,2,Failure,2025-03-04,2025-03-14,10,0.5,10,,
126,21,11,Failure,2025-01-10,2025-01-23,13,0.55,10,,
127,21,3,Failure,2025-01-24,2025-02-12,19,0.6,9,,
128,21,2,Failure,2024-10-16,2024-10-27,11,0.5,10,,
129,21,2,FalseStart,2024-10-06,,11,0.5,10,0.45,6
130,21,4,FalseStart,2025-09-12,,13,0.5,11,0.69,8
131,22,2,Failure,2026-04-13,2026-04-27,14,0.5,10,,
132,22,8,Failure,2024-10-15,2024-11-04,20,0.7,8,,
133,22,2,Failure,2025-07-13,2025-07-26,13,0.5,10,,
134,22,1,Failure,2026-04-19,2026-05-07,18,0.55,10,,
135,22,8,Failure,2024-09-19,2024-10-15,26,0.7,8,,
136,22,5,Failure,2024-08-16,2024-08-21,5,0.45,12,,
137,22,8,FalseStart,2025-01-12,,35,0.7,8,0.45,4
138,22,2,FalseStart,2026-05-28,,10,0.5,10,0.75,4
139,23,2,Failure,2024-09-26,2024-10-11,15,0.5,10,,
140,23,8,Failure,2025-08-13,2025-09-12,30,0.7,8,,
141,23,5,Failure,2025-07-07,2025-07-16,9,0.45,12,,
142,23,5,Failure,2025-07-26,2025-08-04,9,0.45,12,,
143,23,1,Failure,2025-01-30,2025-02-09,10,0.55,10,,
144,23,2,FalseStart,2025-07-22,,15,0.5,10,0.53,7
145,23,11,FalseStart,2024-07-23,,10,0.55,10,0.43,6
146,24,9,Failure,2026-04-14,2026-05-13,29,0.65,9,,
147,24,11,Failure,2025-12-07,2025-12-18,11,0.55,10,,
148,24,7,Failure,2025-03-30,2025-05-04,35,0.75,12,,
149,24,3,Failure,2024-12-19,2025-01-03,15,0.6,9,,
150,24,9,Failure,2024-11-22,2024-12-16,24,0.65,9,,
151,24,11,Failure,2025-09-24,2025-10-07,13,0.55,10,,
152,24,8,Failure,2025-02-05,2025-03-09,32,0.7,8,,
153,24,8,FalseStart,2025-05-12,,22,0.7,8,0.68,7
154,24,1,FalseStart,2026-04-07,,15,0.55,10,0.75,4
155,25,11,Failure,2025-06-19,2025-07-01,12,0.55,10,,
156,25,2,Failure,2026-02-12,2026-02-26,14,0.5,10,,
157,25,2,Failure,2025-08-11,2025-08-20,9,0.5,10,,
158,25,6,Failure,2026-04-27,2026-05-14,17,0.6,10,,
159,25,2,FalseStart,2026-02-16,,9,0.5,10,0.67,4
160,26,1,Failure,2025-03-28,2025-04-10,13,0.55,10,,
161,26,5,Failure,2024-08-29,2024-09-07,9,0.45,12,,
162,26,8,Failure,2024-07-20,2024-08-21,32,0.7,8,,
163,26,1,FalseStart,2025-06-22,,14,0.55,10,0.5,8
164,27,5,Failure,2026-02-10,2026-02-19,9,0.45,12,,
165,27,10,Failure,2026-04-23,2026-05-09,16,0.6,9,,
166,27,5,Failure,2024-09-25,2024-10-05,10,0.45,12,,
167,27,7,Failure,2025-08-08,2025-09-03,26,0.75,12,,
168,27,11,Failure,2025-08-08,2025-08-18,10,0.55,10,,
169,27,5,FalseStart,2026-01-13,,6,0.45,12,0.7,8
170,27,7,FalseStart,2025-09-11,,38,0.75,12,0.73,6
171,28,7,Failure,2026-01-03,2026-02-08,36,0.75,12,,
172,28,3,Failure,2025-04-11,2025-05-05,24,0.6,9,,
173,28,7,Failure,2026-05-19,2026-06-22,34,0.75,12,,
174,28,8,Failure,2024-08-05,2024-09-03,29,0.7,8,,
175,28,1,Failure,2026-02-28,2026-03-13,13,0.55,10,,
176,28,1,FalseStart,2026-06-08,,12,0.55,10,0.54,7
177,28,1,FalseStart,2024-08-28,,15,0.55,10,0.66,8
178,29,11,Failure,2025-02-23,2025-03-04,9,0.55,10,,
179,29,5,Failure,2025-03-22,2025-03-30,8,0.45,12,,
180,29,12,Failure,2024-08-24,2024-09-01,8,0.5,11,,
181,29,6,Failure,2024-12-03,2024-12-20,17,0.6,10,,
182,29,12,Failure,2026-03-19,2026-03-27,8,0.5,11,,
183,29,8,Failure,2026-04-09,2026-04-30,21,0.7,8,,
184,29,5,Failure,2025-02-02,2025-02-07,5,0.45,12,,
185,29,10,FalseStart,2024-11-12,,20,0.6,9,0.58,6
186,29,5,FalseStart,2026-03-15,,10,0.45,12,0.55,6
187,30,8,Failure,2026-01-03,2026-02-03,31,0.7,8,,
188,30,9,Failure,2025-05-02,2025-05-22,20,0.65,9,,
189,30,8,Failure,2025-11-13,2025-12-10,27,0.7,8,,
190,30,1,Failure,2025-12-10,2025-12-24,14,0.55,10,,
191,30,7,Failure,2025-04-16,2025-05-22,36,0.75,12,,
192,30,3,Failure,2026-02-07,2026-03-03,24,0.6,9,,
193,30,8,FalseStart,2025-03-10,,26,0.7,8,0.62,5
194,30,12,FalseStart,2024-08-17,,8,0.5,11,0.71,4
195,31,3,Failure,2026-04-08,2026-04-22,14,0.6,9,,
196,31,1,Failure,2026-01-14,2026-01-27,13,0.55,10,,
197,31,3,Failure,2026-06-01,2026-06-16,15,0.6,9,,
198,31,2,FalseStart,2025-07-25,,11,0.5,10,0.62,7
199,32,2,Failure,2025-11-27,2025-12-10,13,0.5,10,,
200,32,8,Failure,2024-11-08,2024-11-30,22,0.7,8,,
201,32,5,Failure,2025-02-12,2025-02-21,9,0.45,12,,
202,32,5,Failure,2025-03-30,2025-04-09,10,0.45,12,,
203,32,4,Failure,2025-07-21,2025-07-30,9,0.5,11,,
204,32,2,FalseStart,2025-01-12,,13,0.5,10,0.5,7
205,32,7,FalseStart,2025-06-04,,28,0.75,12,0.56,4
206,33,5,Failure,2025-11-17,2025-11-26,9,0.45,12,,
207,33,9,Failure,2025-05-11,2025-06-05,25,0.65,9,,
208,33,9,Failure,2024-09-24,2024-10-12,18,0.65,9,,
209,33,3,Failure,2026-03-19,2026-04-12,24,0.6,9,,
210,33,1,Failure,2025-11-27,2025-12-11,14,0.55,10,,
211,33,8,FalseStart,2024-12-01,,30,0.7,8,0.5,5
212,33,4,FalseStart,2024-11-05,,12,0.5,11,0.53,6
213,34,7,Failure,2025-09-30,2025-11-02,33,0.75,12,,
214,34,6,Failure,2025-10-21,2025-11-04,14,0.6,10,,
215,34,3,Failure,2025-12-19,2026-01-08,20,0.6,9,,
216,34,3,Failure,2025-07-18,2025-08-06,19,0.6,9,,
217,34,1,Failure,2026-02-27,2026-03-15,16,0.55,10,,
218,34,4,Failure,2026-02-06,2026-02-16,10,0.5,11,,
219,34,4,FalseStart,2026-03-05,,13,0.5,11,0.59,8
220,34,2,FalseStart,2025-04-22,,9,0.5,10,0.67,4
221,35,1,Failure,2026-03-06,2026-03-18,12,0.55,10,,
222,36,7,Failure,2024-09-12,2024-10-20,38,0.75,12,,
223,36,7,Failure,2026-01-18,2026-02-21,34,0.75,12,,
224,36,1,Failure,2025-04-15,2025-04-26,11,0.55,10,,
225,36,8,Failure,2024-10-03,2024-11-02,30,0.7,8,,
226,36,1,Failure,2024-10-16,2024-10-28,12,0.55,10,,
227,36,8,Failure,2025-03-17,2025-04-19,33,0.7,8,,
228,36,8,Failure,2025-12-25,2026-01-29,35,0.7,8,,
229,36,4,FalseStart,2025-06-18,,14,0.5,11,0.54,6
230,36,8,FalseStart,2024-09-20,,35,0.7,8,0.57,8
231,37,4,Failure,2026-04-21,2026-05-03,12,0.5,11,,
232,38,9,Failure,2026-01-14,2026-02-08,25,0.65,9,,
233,38,7,Failure,2024-07-19,2024-08-24,36,0.75,12,,
234,38,9,Failure,2025-09-12,2025-10-06,24,0.65,9,,
235,38,11,Failure,2024-12-22,2025-01-02,11,0.55,10,,
236,38,12,Failure,2026-06-09,2026-06-20,11,0.5,11,,
237,38,2,Failure,2025-08-11,2025-08-22,11,0.5,10,,
238,38,5,FalseStart,2024-09-06,,7,0.45,12,0.5,7
239,38,3,FalseStart,2024-12-14,,15,0.6,9,0.51,5
240,39,8,Failure,2026-02-27,2026-03-19,20,0.7,8,,
241,39,5,Failure,2025-05-25,2025-05-30,5,0.45,12,,
242,39,1,Failure,2025-07-11,2025-07-23,12,0.55,10,,
243,39,2,Failure,2026-03-15,2026-03-26,11,0.5,10,,
244,39,8,Failure,2025-10-04,2025-10-31,27,0.7,8,,
245,39,2,Failure,2025-08-25,2025-09-06,12,0.5,10,,
246,39,2,Failure,2026-04-11,2026-04-23,12,0.5,10,,
247,39,6,FalseStart,2025-03-31,,18,0.6,10,0.57,7
248,39,10,FalseStart,2024-10-10,,20,0.6,9,0.63,7
249,40,4,Failure,2024-11-23,2024-12-03,10,0.5,11,,
250,40,9,Failure,2025-12-31,2026-01-24,24,0.65,9,,
251,40,9,Failure,2025-04-16,2025-05-16,30,0.65,9,,
252,40,9,Failure,2026-05-13,2026-05-31,18,0.65,9,,
253,40,11,Failure,2025-11-04,2025-11-12,8,0.55,10,,
254,40,11,Failure,2025-03-18,2025-04-02,15,0.55,10,,
255,40,8,FalseStart,2025-06-02,,25,0.7,8,0.55,5
256,40,3,FalseStart,2026-04-03,,22,0.6,9,0.45,6
257,41,1,Failure,2024-08-04,2024-08-16,12,0.55,10,,
258,41,2,Failure,2024-12-12,2024-12-22,10,0.5,10,,
259,41,1,Failure,2026-04-24,2026-05-08,14,0.55,10,,
260,41,8,Failure,2025-12-07,2025-12-30,23,0.7,8,,
261,41,8,Failure,2026-03-26,2026-04-17,22,0.7,8,,
262,41,6,FalseStart,2025-02-10,,18,0.6,10,0.51,7
263,41,2,FalseStart,2025-10-26,,9,0.5,10,0.67,5
264,42,4,Failure,2024-12-17,2024-12-31,14,0.5,11,,
265,42,11,Failure,2025-05-28,2025-06-09,12,0.55,10,,
266,42,3,Failure,2026-01-29,2026-02-13,15,0.6,9,,
267,42,3,FalseStart,2024-09-14,,21,0.6,9,0.63,6
268,44,7,Failure,2024-11-10,2024-12-19,39,0.75,12,,
269,44,7,Failure,2025-07-30,2025-08-24,25,0.75,12,,
270,44,8,Failure,2025-03-09,2025-04-13,35,0.7,8,,
271,44,3,Failure,2025-10-21,2025-11-05,15,0.6,9,,
272,44,9,FalseStart,2026-03-30,,30,0.65,9,0.65,5
273,45,4,Failure,2025-06-19,2025-06-30,11,0.5,11,,
274,45,8,Failure,2025-03-28,2025-04-19,22,0.7,8,,
275,45,2,Failure,2024-10-29,2024-11-12,14,0.5,10,,
276,45,4,Failure,2026-02-05,2026-02-16,11,0.5,11,,
277,45,5,FalseStart,2025-08-03,,10,0.45,12,0.52,4
278,46,7,Failure,2026-06-02,2026-07-01,29,0.75,12,,
279,46,7,Failure,2025-01-09,2025-02-08,30,0.75,12,,
280,46,2,Failure,2025-10-26,2025-11-03,8,0.5,10,,
281,46,7,FalseStart,2024-08-10,,27,0.75,12,0.44,5
282,47,5,Failure,2025-06-23,2025-06-28,5,0.45,12,,
283,47,11,Failure,2025-12-14,2025-12-28,14,0.55,10,,
284,47,2,Failure,2024-12-07,2024-12-18,11,0.5,10,,
285,47,9,Failure,2025-11-15,2025-12-09,24,0.65,9,,
286,47,4,Failure,2026-04-07,2026-04-20,13,0.5,11,,
287,47,1,Failure,2026-03-28,2026-04-13,16,0.55,10,,
288,47,8,Failure,2026-05-16,2026-06-12,27,0.7,8,,
289,47,12,FalseStart,2025-01-17,,5,0.5,11,0.49,6
290,47,3,FalseStart,2025-07-29,,21,0.6,9,0.44,5
291,48,9,Failure,2026-03-27,2026-04-15,19,0.65,9,,
292,48,8,Failure,2026-01-11,2026-02-08,28,0.7,8,,
293,48,11,Failure,2025-07-05,2025-07-16,11,0.55,10,,
294,48,7,Failure,2026-02-16,2026-03-17,29,0.75,12,,
295,48,8,Failure,2026-02-09,2026-03-07,26,0.7,8,,
296,48,11,FalseStart,2024-11-24,,11,0.55,10,0.67,5
297,48,5,FalseStart,2025-06-10,,8,0.45,12,0.64,4
298,49,4,Failure,2024-11-13,2024-11-27,14,0.5,11,,
299,49,5,Failure,2024-11-24,2024-12-04,10,0.45,12,,
300,49,3,Failure,2026-01-16,2026-02-08,23,0.6,9,,
301,49,6,Failure,2026-02-02,2026-02-13,11,0.6,10,,
302,49,11,Failure,2025-06-16,2025-06-26,10,0.55,10,,
303,49,7,Failure,2024-07-12,2024-08-09,28,0.75,12,,
304,49,3,Failure,2025-03-12,2025-03-31,19,0.6,9,,
305,49,8,FalseStart,2025-01-14,,31,0.7,8,0.69,8
306,49,6,FalseStart,2025-08-25,,11,0.6,10,0.56,5
307,50,11,Failure,2025-05-20,2025-05-30,10,0.55,10,,
308,50,8,Failure,2026-03-30,2026-05-01,32,0.7,8,,
309,50,7,Failure,2024-12-18,2025-01-12,25,0.75,12,,
310,50,2,Failure,2024-08-11,2024-08-26,15,0.5,10,,
311,50,2,Failure,2024-11-07,2024-11-21,14,0.5,10,,
312,50,7,Failure,2025-06-18,2025-07-18,30,0.75,12,,
313,50,6,FalseStart,2025-06-13,,14,0.6,10,0.49,4
314,50,7,FalseStart,2024-12-03,,26,0.75,12,0.65,7
315,51,7,Failure,2025-06-27,2025-08-06,40,0.75,12,,
316,51,4,Failure,2025-04-23,2025-05-06,13,0.5,11,,
317,51,5,Failure,2026-06-15,2026-06-23,8,0.45,12,,
318,51,4,Failure,2024-11-06,2024-11-19,13,0.5,11,,
319,51,7,Failure,2025-12-28,2026-02-01,35,0.75,12,,
320,51,6,Failure,2024-08-02,2024-08-18,16,0.6,10,,
321,51,3,Failure,2025-05-08,2025-05-22,14,0.6,9,,
322,51,8,FalseStart,2026-03-11,,33,0.7,8,0.66,6
323,51,8,FalseStart,2024-09-17,,29,0.7,8,0.71,5
324,52,5,Failure,2025-08-19,2025-08-28,9,0.45,12,,
325,52,12,Failure,2026-06-20,2026-07-02,12,0.5,11,,
326,52,1,Failure,2026-01-18,2026-01-31,13,0.55,10,,
327,52,3,FalseStart,2024-09-16,,20,0.6,9,0.73,6
328,53,5,Failure,2025-02-21,2025-02-27,6,0.45,12,,
329,53,7,Failure,2026-02-09,2026-03-19,38,0.75,12,,
330,53,2,Failure,2024-10-17,2024-10-26,9,0.5,10,,
331,53,6,Failure,2024-11-12,2024-11-24,12,0.6,10,,
332,53,10,Failure,2025-10-16,2025-11-09,24,0.6,9,,
333,53,1,Failure,2025-05-11,2025-05-24,13,0.55,10,,
334,53,1,FalseStart,2025-10-11,,12,0.55,10,0.42,8
335,53,4,FalseStart,2025-03-01,,12,0.5,11,0.64,4
336,54,5,Failure,2025-05-20,2025-05-27,7,0.45,12,,
337,54,3,Failure,2025-11-04,2025-11-20,16,0.6,9,,
338,54,10,Failure,2025-05-07,2025-05-25,18,0.6,9,,
339,54,10,Failure,2025-01-25,2025-02-09,15,0.6,9,,
340,54,3,FalseStart,2024-07-24,,19,0.6,9,0.71,5
341,55,8,Failure,2026-01-05,2026-01-31,26,0.7,8,,
342,55,7,Failure,2024-08-29,2024-09-29,31,0.75,12,,
343,55,7,Failure,2025-05-25,2025-06-28,34,0.75,12,,
344,55,12,Failure,2025-09-12,2025-09-21,9,0.5,11,,
345,55,8,Failure,2025-06-16,2025-07-10,24,0.7,8,,
346,55,8,Failure,2025-09-07,2025-10-11,34,0.7,8,,
347,55,1,FalseStart,2024-11-08,,13,0.55,10,0.7,5
348,55,3,FalseStart,2026-05-19,,25,0.6,9,0.48,6
349,56,4,Failure,2026-03-05,2026-03-13,8,0.5,11,,
350,56,6,Failure,2025-01-09,2025-01-23,14,0.6,10,,
351,56,7,Failure,2024-11-21,2024-12-24,33,0.75,12,,
352,56,7,Failure,2025-10-25,2025-11-21,27,0.75,12,,
353,56,12,Failure,2025-12-31,2026-01-12,12,0.5,11,,
354,56,1,Failure,2024-07-16,2024-07-26,10,0.55,10,,
355,56,7,FalseStart,2025-09-14,,34,0.75,12,0.59,8
356,56,1,FalseStart,2025-01-18,,14,0.55,10,0.75,5
357,57,8,Failure,2025-01-15,2025-02-04,20,0.7,8,,
358,57,9,Failure,2024-08-12,2024-09-01,20,0.65,9,,
359,57,7,Failure,2024-07-11,2024-08-17,37,0.75,12,,
360,57,11,Failure,2024-09-08,2024-09-23,15,0.55,10,,
361,57,2,FalseStart,2025-11-15,,13,0.5,10,0.51,4
362,58,6,Failure,2026-06-09,2026-06-29,20,0.6,10,,
363,58,12,Failure,2026-03-09,2026-03-16,7,0.5,11,,
364,58,9,Failure,2024-10-31,2024-11-20,20,0.65,9,,
365,58,7,Failure,2026-05-24,2026-06-25,32,0.75,12,,
366,58,5,Failure,2025-03-07,2025-03-14,7,0.45,12,,
367,58,3,FalseStart,2026-02-22,,22,0.6,9,0.48,8
368,58,6,FalseStart,2024-08-30,,10,0.6,10,0.47,8
369,59,10,Failure,2024-12-11,2024-12-31,20,0.6,9,,
370,59,7,Failure,2025-09-27,2025-11-06,40,0.75,12,,
371,59,6,Failure,2024-08-09,2024-08-23,14,0.6,10,,
372,59,1,Failure,2026-02-11,2026-02-23,12,0.55,10,,
373,59,7,Failure,2026-04-08,2026-05-10,32,0.75,12,,
374,59,2,FalseStart,2026-06-20,,12,0.5,10,0.55,6
375,59,9,FalseStart,2025-04-05,,29,0.65,9,0.58,8
376,60,7,Failure,2025-07-31,2025-08-30,30,0.75,12,,
377,60,3,Failure,2025-11-29,2025-12-15,16,0.6,9,,
378,60,8,Failure,2024-09-09,2024-10-13,34,0.7,8,,
379,60,3,Failure,2025-07-17,2025-08-07,21,0.6,9,,
380,60,8,Failure,2024-11-17,2024-12-08,21,0.7,8,,
381,60,6,FalseStart,2024-12-03,,19,0.6,10,0.75,7
382,60,6,FalseStart,2025-08-31,,10,0.6,10,0.4,8
383,61,4,Failure,2025-11-04,2025-11-15,11,0.5,11,,
384,61,5,Failure,2024-08-13,2024-08-18,5,0.45,12,,
385,61,8,Failure,2025-05-07,2025-06-03,27,0.7,8,,
386,61,3,Failure,2025-03-13,2025-04-04,22,0.6,9,,
387,61,5,FalseStart,2025-07-15,,5,0.45,12,0.73,6
388,62,12,Failure,2026-02-24,2026-03-04,8,0.5,11,,
389,63,7,Failure,2025-06-25,2025-07-21,26,0.75,12,,
390,63,7,Failure,2025-10-25,2025-11-24,30,0.75,12,,
391,63,10,Failure,2025-08-03,2025-08-21,18,0.6,9,,
392,63,4,Failure,2025-02-14,2025-02-21,7,0.5,11,,
393,63,5,FalseStart,2026-01-21,,6,0.45,12,0.46,5
394,64,4,Failure,2025-05-20,2025-06-03,14,0.5,11,,
395,64,5,Failure,2026-04-11,2026-04-19,8,0.45,12,,
396,64,8,Failure,2025-02-03,2025-03-10,35,0.7,8,,
397,64,6,Failure,2024-09-21,2024-10-07,16,0.6,10,,
398,64,1,Failure,2025-07-15,2025-07-29,14,0.55,10,,
399,64,11,FalseStart,2025-04-02,,8,0.55,10,0.58,8
400,64,4,FalseStart,2025-07-12,,10,0.5,11,0.49,4
401,65,11,Failure,2024-11-26,2024-12-09,13,0.55,10,,
402,65,8,Failure,2024-07-29,2024-08-21,23,0.7,8,,
403,65,12,Failure,2025-10-12,2025-10-23,11,0.5,11,,
404,65,1,Failure,2025-06-07,2025-06-23,16,0.55,10,,
405,65,3,FalseStart,2025-05-13,,22,0.6,9,0.63,7
406,66,6,Failure,2024-12-10,2024-12-23,13,0.6,10,,
407,66,6,Failure,2024-08-10,2024-08-22,12,0.6,10,,
408,66,2,Failure,2025-09-16,2025-09-30,14,0.5,10,,
